year,centers,pop_75,intervention_rate,total_vol_tam,tavi_share_pred,tavi_vol_pred,savr_vol_pred
2022,44.0,1283000,,2574.0,0.24518714927391433,631.1117222310555,1942.8882777689444
2023,47.0,1310000,,3703.0,0.2552418650105237,945.1606261339692,2757.8393738660307
2024,54.05144050830038,1330000,,,0.2797230501364412,,
2025,59.27698529063747,1351000,,,0.2935375636004477,,
2026,63.70312381223679,1340000,,,0.30388066216659176,,
2027,67.31550852170012,1306000,,,0.31365820432634967,,
2028,70.17545890196315,1290000,,,0.3206512537883026,,
2029,72.38568145218828,1300000,,,0.32516217560846095,,
2030,74.06211690451967,1329000,,,0.3295583783915219,,
2031,75.31571916786822,1366000,,,0.3317150109971983,,
2032,76.24319954613779,1423000,,,0.33384478704516635,,
2033,76.92400173443941,1507000,,,0.33384478704516635,,
2034,77.42084304296085,1579000,,,0.3359482761667281,,
2035,77.78189885474602,1640000,,,0.3359482761667281,,
2036,78.04347190480792,1697000,,,0.33802603095062306,,
2037,78.23255030294465,1754000,,,0.33802603095062306,,
2038,78.36900536102593,1830000,,,0.33802603095062306,,
2039,78.46736823473599,1912000,,,0.33802603095062306,,
2040,78.53821301538731,1995000,,,0.33802603095062306,,
2041,78.5892073174894,2087000,,,0.33802603095062306,,
2042,78.62589719164212,2201000,,,0.33802603095062306,,
2043,78.65228690296536,2317000,,,0.33802603095062306,,
2044,78.67126379659011,2424000,,,0.33802603095062306,,
2045,78.68490790559015,2528000,,,0.33802603095062306,,
2046,78.69471667670484,2622000,,,0.33802603095062306,,
2047,78.70176762641678,2710000,,,0.33802603095062306,,
2048,78.70683583482865,2782000,,,0.33802603095062306,,
2049,78.71047869501598,2811000,,,0.33802603095062306,,
2050,78.71309698064002,2823000,,,0.33802603095062306,,
