year,proc,index_cnt,deaths,failures,viable,run
2012,savr,14.0,0.03,0.0,0.0,49.5
2012,tavi,30.0,0.13,0.0,0.0,49.5
2013,savr,16.0,0.15,0.53,0.0,49.5
2013,tavi,41.0,0.44,0.63,0.0,49.5
2014,savr,13.0,0.35,0.94,0.0,49.5
2014,tavi,43.0,1.05,1.98,0.0,49.5
2015,savr,18.0,1.17,1.39,0.0,49.5
2015,tavi,44.0,3.01,4.2,0.0,49.5
2016,savr,216.0,2.65,1.88,0.0,49.5
2016,tavi,52.0,7.08,6.61,0.0,49.5
2017,savr,237.0,5.35,7.27,0.0,49.5
2017,tavi,67.0,12.55,9.01,0.0,49.5
2018,savr,254.0,11.12,11.68,0.0,49.5
2018,tavi,76.0,20.48,12.14,0.0,49.5
2019,savr,245.0,21.55,15.61,0.0,49.5
2019,tavi,70.0,29.79,15.33,0.0,49.5
2020,savr,208.0,36.2,22.49,0.0,49.5
2020,tavi,95.0,37.68,19.7,0.0,49.5
2021,savr,230.0,54.43,27.85,0.0,49.5
2021,tavi,119.0,46.24,25.32,0.0,49.5
2022,savr,245.0,77.61,35.57,28.86,49.5
2022,tavi,121.0,54.43,32.14,22.05,49.5
2023,savr,264.0,100.2,45.66,34.08,49.5
2023,tavi,128.0,61.28,40.02,25.94,49.5
2024,savr,326.0,118.1,57.56,40.39,49.5
2024,tavi,143.0,67.88,48.45,29.26,49.5
2025,savr,1589.0,142.01,69.68,45.24,49.5
2025,tavi,2403.0,91.21,55.99,31.87,49.5
2026,savr,1432.0,222.5,155.18,120.9,49.5
2026,tavi,2783.0,219.61,113.15,83.34,49.5
2027,savr,1278.0,443.13,196.53,151.1,49.5
2027,tavi,3168.0,597.89,210.35,170.76,49.5
2028,savr,1134.0,709.84,247.68,182.28,49.5
2028,tavi,3551.0,1175.7,374.6,301.11,49.5
2029,savr,1002.0,922.2,302.51,202.37,49.5
2029,tavi,3924.0,1775.94,560.39,416.93,49.5
2030,savr,888.0,1032.02,368.14,216.11,49.5
2030,tavi,4293.0,2299.73,752.3,517.03,49.5
2031,savr,790.0,1062.98,437.0,218.2,49.5
2031,tavi,4648.0,2761.33,962.19,607.33,49.5
2032,savr,708.0,1040.49,512.66,219.23,49.5
2032,tavi,4991.0,3155.26,1192.57,695.65,49.5
2033,savr,642.0,998.75,585.88,209.0,49.5
2033,tavi,5321.0,3544.67,1469.59,779.91,49.5
2034,savr,590.0,938.3,648.93,198.57,49.5
2034,tavi,5639.0,3898.69,1792.02,863.59,49.5
2035,savr,551.0,873.38,713.72,190.28,49.5
2035,tavi,5964.0,4237.02,2177.09,949.55,49.5
2036,savr,522.0,808.29,756.13,172.73,49.5
2036,tavi,6283.0,4569.43,2581.22,1034.85,49.5
2037,savr,501.0,754.55,791.62,162.81,49.5
2037,tavi,6586.0,4896.9,3005.4,1117.98,49.5
2038,savr,486.0,692.75,809.19,150.36,49.5
2038,tavi,6881.0,5217.44,3443.62,1200.05,49.5
2039,savr,477.0,644.73,814.05,138.42,49.5
2039,tavi,7169.0,5505.52,3865.18,1285.55,49.5
2040,savr,474.0,599.77,801.8,132.23,49.5
2040,tavi,7460.0,5792.51,4266.83,1361.64,49.5
2041,savr,474.0,573.47,777.06,127.33,49.5
2041,tavi,7748.0,6095.77,4653.25,1442.09,49.5
2042,savr,476.0,537.58,753.75,120.44,49.5
2042,tavi,8012.0,6358.55,5033.27,1526.44,49.5
2043,savr,480.0,519.48,727.39,116.81,49.5
2043,tavi,8264.0,6649.64,5370.22,1597.71,49.5
2044,savr,485.0,501.28,686.36,111.44,49.5
2044,tavi,8501.0,6910.19,5714.61,1681.01,49.5
2045,savr,491.0,483.71,649.29,110.94,49.5
2045,tavi,8723.0,7172.16,6040.94,1769.05,49.5
2046,savr,497.0,479.82,618.19,110.79,49.5
2046,tavi,8935.0,7406.65,6349.5,1842.33,49.5
2047,savr,504.0,473.12,596.19,111.4,49.5
2047,tavi,9129.0,7660.5,6653.2,1917.6,49.5
2048,savr,511.0,471.23,567.99,109.56,49.5
2048,tavi,9317.0,7875.67,6945.67,1997.79,49.5
2049,savr,519.0,474.21,549.35,111.23,49.5
2049,tavi,9498.0,8112.14,7225.35,2073.21,49.5
2050,savr,526.0,471.71,527.86,113.13,49.5
2050,tavi,9662.0,8320.16,7504.16,2140.37,49.5
