year,TAM,pred_TAVI,pred_SAVR,centers
2012,1052.8352839585698,4.76332309592996,1048.0719608626398,2.977323073264767
2013,1351.3684277025325,20.921810881420598,1330.4466168211118,4.1359459719141345
2014,1603.339471405472,48.61688401552219,1554.72258738995,5.708086787920224
2015,1834.3103676300411,93.51857009111446,1740.7917975389266,7.808924739006102
2016,2051.15318631202,162.98168671324555,1888.1714995987743,10.55955600630856
2017,2265.4639349000804,265.757536897995,1999.7063980020853,14.066318102361635
2018,2480.5552816705886,411.01364123063286,2069.5416404399557,18.388352215870718
2019,2693.507296601552,606.5079598674981,2086.999336734054,23.4984874787199
2020,2907.3707588558937,856.1803362780994,2051.1904225777944,29.251947477443476
2021,3120.1732785714403,1158.0278038043289,1962.1454747671114,35.383572692869535
2022,3331.357037179585,1503.454364567636,1827.902672611949,41.547382270936026
2023,3546.7718327337743,1878.791301088346,1667.9805316454283,47.390176456405094
2024,3767.916072544659,2268.4841697954307,1499.4319027492284,52.62837042614895
2025,3993.02426562047,2658.4833620845952,1334.5409035358748,57.094956726236695
2026,4216.598193880373,3038.469255685273,1178.1289381951005,60.743686343944454
2027,4446.88864886608,3402.454987356207,1044.4336615098732,63.621291102690016
2028,4685.61817825708,3748.170313300477,937.4478649566031,65.82842244020712
2029,4926.673552748499,4075.926228242514,850.747324505985,67.48541419535037
2030,5181.695764951222,4387.499906782925,794.1958581682975,68.70949012118827
2031,5439.11417474355,4685.290691304786,753.823483438764,69.60302453090802
2032,5699.954568016814,4971.784703917753,728.1698640990608,70.24960588886397
2033,5964.133733569954,5249.267098155188,714.8666354147654,70.71453688365922
2034,6229.397441491714,5519.699884797375,709.6975566943393,71.04733212900773
2035,6515.864868170724,5784.696553329676,731.1683148410475,71.28476994818644
2036,6805.602451904158,6045.5461191955865,760.056332708572,71.45377981458506
2037,7087.269985181038,6303.257745944531,784.0122392365065,71.57388302492404
2038,7368.558524992695,6558.610065354727,809.948459637968,71.6591313154475
2039,7647.279259287029,6812.1973976203535,835.0818616666756,71.71958929432104
2040,7934.720692738525,7064.469693196971,870.2509995415539,71.76244059578077
2041,8222.545978149206,7315.765457145888,906.7805210033184,71.79279990214178
2042,8489.493859534548,7566.3380824101405,923.1557771244079,71.8143024697486
2043,8745.32631544942,7816.376485047007,928.9498304024128,71.82952886781997
2044,8986.533405442835,8066.021041851227,920.5123635916079,71.8403093741242
2045,9214.484697094864,8315.375769750626,899.1089273442376,71.84794131855553
2046,9433.147612518515,8564.517558817883,868.6300537006318,71.85334386762929
2047,9634.431146101273,8813.503128215452,820.9280178858207,71.85716805550312
2048,9829.833729644211,9062.374240737723,767.4594889064883,71.85987490072812
2049,10017.438572902236,9311.161596157366,706.2769767448699,71.86179081509124
2050,10189.209826643582,9559.88772837907,629.3220982645125,71.86314688037649
