year,TAM,TAVI_Adjusted_Trend,Demographic_Mult,TAVI_Final,SAVR_Final
2012,1035.9499345631916,127.73302750630464,0.4981033207153472,63.62424516591512,972.3256893972765
2013,1339.1262491540874,169.77990801509588,0.5338068586308998,90.62967935618147,1248.496569797906
2014,1594.7144266717005,224.74104388478736,0.5715082839272696,128.441368318618,1466.2730583530824
2015,1828.8281450643453,295.90594005221055,0.6106332928381414,180.69001854444699,1648.1381265198984
2016,2048.561298493237,386.9306463080972,0.6512049296269451,251.9711442995728,1796.590154193664
2017,2265.6170621896613,501.5515782335415,0.6956810801794515,348.9199437112188,1916.6971184784425
2018,2483.385758521643,643.0778593483893,0.7399883623674197,475.8701320139605,2007.5156265076823
2019,2699.0049762647095,813.6468959564176,0.7841783098606946,638.044247694504,2060.9607285702054
2020,2915.5103891012304,1013.323673349633,0.8256516239664877,836.6523365048113,2078.858052596419
2021,3130.9384792735905,1239.2667992273755,0.8662427349188786,1073.5058614568866,2057.432617816704
2022,3344.8325022234503,1485.3096007154877,0.9113386400851761,1353.6200316215084,1991.212470601942
2023,3562.9842638386726,1742.2962635779304,0.9572800456531086,1667.8654467391218,1895.1188170995508
2024,3786.8137532035207,1999.2829264403729,1.0,1999.2829264403729,1787.5308267631478
2025,4014.5466215473366,2245.3257279284853,1.0386086058357722,2332.0146239309943,1682.5319976163423
2026,4240.706635658184,2471.268853806228,1.074510227764502,2655.4036589706498,1585.3029766875338
2027,4473.828829200043,2670.9456311994436,1.1200743737030456,2991.6577550606025,1482.1710741394409
2028,4715.624512845631,2841.5146678074716,1.1732161653665467,3333.7109423978786,1381.9135704477526
2029,4959.7376864425905,2983.04094892232,1.2251334330091306,3654.623198560016,1305.1144878825744
2030,5217.847978683739,3097.6618808477638,1.279986444817155,3964.9652181119504,1252.8827605717884
2031,5478.236167711479,3188.6865871036503,1.3322072969138763,4247.991538910887,1230.2446288005913
2032,5742.379653464524,3259.851483271073,1.392146519579876,4538.1908967831205,1204.188756681404
2033,6010.098315111552,3314.812619140765,1.4576450271769643,4831.820130313985,1178.2781847975675
2034,6278.975788692998,3356.8594996495563,1.5249513222573352,5119.0473326226875,1159.9284560703109
2035,6569.7952687130455,3388.794190937588,1.6092290627608026,5453.3460997717475,1116.449168941298
2036,6864.178496868845,3412.9153294716302,1.6972423669071892,5792.544491846259,1071.6340050225863
2037,7150.67669023675,3431.0589317637264,1.783621149556035,6119.709276066919,1030.9674141698306
2038,7437.184694155911,3444.663587259072,1.8719338439571211,6448.182350037,989.0023441189105
2039,7721.4143506620085,3454.8408302983103,1.9609571919533741,6774.794973227638,946.6193774343701
2040,8014.938283223713,3462.4407396418896,2.0585773315537983,7127.702018475161,887.2362647485525
2041,8309.13378407159,3468.108556155633,2.1585914705458156,7486.229548244512,822.9042358270772
2042,8581.935634037829,3472.3313251340187,2.2458827589197856,7798.449056375585,783.4865776622437
2043,8843.100703920769,3475.4751732831205,2.3239899670114625,8076.969433307397,766.1312706133722
2044,9089.188385446787,3477.814492814059,2.3930087439513166,8322.440491144656,766.7478943021306
2045,9321.87793180301,3479.5544626756323,2.45739408026232,8550.636538529438,771.2413932735726
2046,9545.204367688564,3480.848250722239,2.519514291469137,8770.046914130025,775.1574535585387
2047,9750.975664830416,3481.8100563239477,2.575894013984428,8968.773681915642,782.2019829147739
2048,9951.247749821665,3482.5249462527104,2.6353191026591705,9177.564516346869,773.683233474796
2049,10143.941920334782,3483.056243201699,2.6955847270660787,9388.873212686653,755.0687076481299
2050,10320.684084463755,3483.4510599163136,2.749660330337726,9578.307192124792,742.3768923389634
